Level 1 Folder,Description / Purpose,Level 2 Contents (files & subfolders),Level 3 Contents (inside that subfolder)
(repo root),"Project root — config files (package.json, vite.config.ts, tsconfig*.json, tailwind.config.ts, etc.), env file, docs, and the 4 major source trees below.","BUILD_GUIDE.md, README.md, ARIA_TASK_REGISTRY.csv, ARIA_PAGE_REGISTRY.csv, .env, package.json, vite.config.ts, tailwind.config.ts, components.json, eslint.config.js, index.html, public/, src/, supabase/, n8n/",—
public,Static assets served as-is at the site root (favicon, robots.txt, placeholder image).,"favicon.ico, placeholder.svg, robots.txt",—
src,All application source code — the React/TS frontend.,"assets/, components/, hooks/, integrations/, lib/, pages/, test/, App.tsx, main.tsx, index.css, App.css, vite-env.d.ts",—
src/assets,Static imagery bundled into the build (imported directly in components).,hero-skyline.jpg (Singapore skyline hero image used on the homepage),—
src/components,"Top-level shared components not specific to one page area, plus subfolders grouping components by area (admin, auth, command center, home sections, layout chrome, UI primitives).","AdminProtectedRoute.tsx, NavLink.tsx, admin/, auth/, command/, home/, layout/, ui/",—
src/components/admin,Admin-panel-specific reusable components.,"AddNewAgentForm.tsx (the invite-agent form used by AddNewAgentPage), AdminLayout.tsx (sidebar nav + collapse state wrapper for all /admin/* pages)",—
src/components/auth,Shared visual chrome for auth pages.,BrandedLeftPanel.tsx (the branded side panel shown on login/reset-password screens),—
src/components/command,"The ARIA AI Command Center's core plumbing — chat panel, state management, and screen-switching shell. Its scenes/ subfolder holds one component per screen ARIA can navigate to.","AIChatPanel.tsx, ActionBar.tsx, ChatInputBar.tsx, CommandContext.tsx, DynamicScreen.tsx, QuickAccessPanel.tsx, TopBar.tsx, scenes/","scenes/: CalendarScene.tsx, CommissionScene.tsx, DashboardScene.tsx, FilesScene.tsx, LeadsScene.tsx, ListingDetailScene.tsx, ListingFormScene.tsx, ListingsScene.tsx, PlaceholderScene.tsx, useFileOperations.ts, viewingOperations.ts (11 files — 8 real scene components + 1 fallback + 2 shared-logic hooks)"
src/components/home,"One component per homepage section, built as small named pieces rather than one big file so sections can be reordered/reused independently.","CTABanner.tsx, FeaturedListings.tsx, HeroSection.tsx, InsightsPreview.tsx, ServicesSection.tsx, StatsBar.tsx, TeamTeaser.tsx, TestimonialsSection.tsx (8 files)",—
src/components/layout,Site-wide chrome reused on every public page.,"Footer.tsx, Layout.tsx (wraps page content with Navbar+Footer), Navbar.tsx, WhatsAppButton.tsx (floating contact button)",—
src/components/ui,"shadcn/ui component library — pre-built, accessible primitives generated one at a time via the shadcn CLI, not hand-written. The vocabulary every other component is built from.","50 files: accordion, alert(-dialog), aspect-ratio, avatar, badge, breadcrumb, button, calendar, card, carousel, chart, checkbox, collapsible, command, context-menu, count-up, dialog, drawer, dropdown-menu, form, hover-card, input(-otp), label, menubar, navigation-menu, pagination, popover, progress, radio-group, resizable, scroll-area, select, separator, sheet, sidebar, skeleton, slider, sonner, switch, table, tabs, textarea, toast(er), toggle(-group), tooltip, use-toast",—
src/hooks,Reusable cross-page React hooks.,"use-mobile.tsx (responsive breakpoint detection), use-toast.ts (toast notification state)",—
src/integrations,Third-party service integration layer.,supabase/ (the only integration currently wired up),"supabase/: client.ts (the one configured Supabase client, imported everywhere), types.ts (auto-generated from the live DB schema via `supabase gen types typescript` — never hand-edited)"
src/lib,Domain and cross-cutting shared logic not tied to any one component.,"ariaClient.ts (parses ARIA's streamed Anthropic SSE response), listingHelpers.ts (formatSGD, calcPSF, SG postal districts, property types), utils.ts (the cn() classname-merge helper shadcn relies on), intentPacks/","intentPacks/: index.ts (loader that picks the active pack via env var), real-estate.ts (this project's actual intent handlers — create_folder, start_listing, property-detail merge), _empty.ts (a no-op pack used to sanity-check the loading mechanism)"
src/pages,"Top-level routed page components not nested under a role-specific subfolder — public site, auth, and the agent Command Center entry point. admin/ and portal/ hold the role-specific ones.","AdminLoginPage.tsx, AgentApplication.tsx, AgentCommand.tsx (mounts the Command Center), AgentLoginPage.tsx, AuthCallbackPage.tsx, Index.tsx (homepage), NotFound.tsx (404), PlaceholderPages.tsx (shared stub exports incl. 2 orphaned/unused ones — About, Services, Insights, Contact, MemberPortal, plus dead AgentPortal/Admin), PropertiesPage.tsx, PropertyDetailPage.tsx, ResetPasswordPage.tsx, TeamPage.tsx, admin/, portal/","admin/: ActivityLogPage.tsx, AddNewAgentPage.tsx, AdminDashboard.tsx (placeholder — static heading only), AdminListingsPage.tsx, AdminPlaceholder.tsx (shared stub for Properties/Applications/Reports/Settings), AgentsListPage.tsx, EditAgentPage.tsx  ||  portal/: AgentListingsPage.tsx, EditListingPage.tsx, NewListingPage.tsx (standalone listings CRUD, parallel to the Command Center's listing scenes)"
src/test,Vitest + Testing Library setup and example test.,"example.test.ts, setup.ts (configures jsdom/Testing Library for Vitest)",—
supabase,"Backend-as-a-service config: serverless Edge Functions (Deno/TypeScript) and versioned SQL migrations. Schema is well ahead of the frontend UI (30 tables across 11 migrations).","config.toml, functions/, migrations/","functions/: analyse-agent-files/ (1 file — extracts structured property data from uploaded files), aria-chat/ (3 files — index.ts streaming proxy to Anthropic, prompt.ts static+dynamic system prompt, tools.ts the 6 native tool defs), classify-intent/ (3 files — index.ts embedding classifier, packs/real-estate.ts + packs/_empty.ts phrase/threshold data), resend-agent-invite/ (1 file), send-agent-invite/ (1 file — forwards to n8n webhook)  ||  migrations/: 11 timestamped .sql files, oldest 20260219211720 through newest 20260805000000_agent_invite_failures.sql"
n8n,"Importable n8n workflow definitions for the agent-invite orchestration (see BUILD_GUIDE.md Part C) — infra deployment itself is external (Railway), only the workflow JSON lives in-repo.",workflows/,"workflows/: agent-invite.json (main 4-step invite workflow with retries), agent-invite-error-handler.json (logs failures to agent_invite_failures + optional alert email)"
