Phase,Task,Status,Trigger / How Recognized,What It Does,Code Location,Destructive?,Requires Picking An Existing Record?,Risk Level,Notes,
Phase 1,awaiting_folder_name,Built,"convoState.mode === ""awaiting_folder_name"" and agent replies with text",Takes the typed text literally as the new folder's name and creates it (with any pending file attachments) in agent_files.,AIChatPanel.tsx sendMessage() ~line 303,No,No,Low,"No AI or classifier involved — pure state check. Any text is accepted as the name, no interpretation.",
Phase 1,awaiting_folder_select,Built,"convoState.mode === ""awaiting_folder_select"" and agent replies with text (typed instead of clicking a folder pill)","Matches typed text against existing folder names; if matched, files the pending attachments there; if not matched, creates a new folder with that name.",AIChatPanel.tsx sendMessage() ~line 341,No,"Yes (matches against existing folders, but low stakes — falls back to create-new on no match)",Low,Direct string match against the folder list already loaded client-side.,
Phase 1,File upload with no caption,Built,hasFiles && !hasText,"If the agent has zero existing folders: skips straight to asking for a folder name (smart default added mid-project). If folders exist: shows 'new property / add to existing / start listing' buttons, leading with 'new property' as primary.",AIChatPanel.tsx sendMessage() ~line 364,No,No,Low,"Fixed rule, not text classification — there's no text to classify.",
Phase 1,File upload with caption text,Built,hasFiles && hasText,Shows the 3-button prompt (add to existing / create new folder / start a listing) treating the caption as context for the next step.,AIChatPanel.tsx sendMessage() ~line 397,No,No,Low,Always shows all 3 options (no smart-default applied here, unlike the no-caption case).
Phase 1,property_extracted continuation,Built,"convoState.mode === ""property_extracted"" and agent replies with text instead of clicking a confirm button","Merges any new listing details found in the text into the already-collected draft (mergePropertyDetails, no confidence gate needed since state already confirms intent) and re-shows the confirm prompt with the updated summary.","AIChatPanel.tsx sendMessage() (new gate, added 2026-08-07); helpers in src/lib/intentPacks/real-estate.ts (mergePropertyDetails, formatPropertySummary, extractPropertyDetailsRaw)",No,No,Low,"Closed a real gap: previously this state had no text handler at all, so typed follow-ups silently lost the in-progress draft and fell through to the AI with no memory of it.",
Phase 1,Multi-step new-listing wizard (one field at a time),Proposed — not built,"Would need a new ConvoState variant, e.g. ""awaiting_listing_field""","Walk through missing listing fields one at a time (""""what's the size?"""" then """"what's the price?"""") instead of expecting one message to contain everything.",Not yet created,No,No,Low,"Same shape as existing gates, just not built. Lower priority now that the property_extracted merge gate covers the common case of adding details incrementally.",
Phase 1,Rename/upload inside an already-open folder,Proposed — not built,Would need the chat to know which folder is currently open in FilesScene — no such shared state exists today,"If the agent is already viewing a specific folder and says """"rename this to X"""" or uploads more files", act on that folder directly with zero ambiguity.,Not yet created,No,No (would be zero-ambiguity by construction),Low,Blocked on plumbing: AIChatPanel has no visibility into which folder FilesScene currently has open.
Phase 1,Yes/no confirm before a destructive action,Proposed — not built,"Would need a new ConvoState variant, e.g. ""awaiting_delete_confirm""",A direct yes/no reply to a just-asked 'are you sure?' question triggers or cancels the pending destructive action.,Not yet created,No (this gate itself is not destructive — it just confirms one),No,Low,"Has no destructive AI tool to attach to yet — nothing currently lets ARIA delete/cancel/unpublish anything, so this is genuinely blocked on Phase 3 work below, not just unbuilt for its own sake.",
Phase 2,create_folder,Built,"Embedding-based classifier match against packs/real-estate.ts examples, confidence >= 0.68","Creates a new folder directly (same underlying logic as the Phase 1 gates) when free text like """"I need somewhere to put these photos"""" is recognized", with no prior conversation state required.,supabase/functions/classify-intent/packs/real-estate.ts (phrases + threshold); src/lib/intentPacks/real-estate.ts handleCreateFolderIntent(),No,No,Low,Threshold set low (0.68) deliberately — wrong guess is cheap to notice/rename.
Phase 2,start_listing,Built,"Embedding-based classifier match, confidence >= 0.80",Runs extractPropertyDetails() on the message; if enough fields found shows the confirm-listing summary + buttons (entering property_extracted state); if not enough found asks a clarifying follow-up.,supabase/functions/classify-intent/packs/real-estate.ts; src/lib/intentPacks/real-estate.ts handleStartListingIntent(),No,No,Low-Medium,"Threshold set higher (0.80) than create_folder — a wrong guess here interrupts with a whole confirm-listing flow, more disruptive than a stray folder.",
